Delegator Address,Validator Address,Shares,Balance
core1g7qfffwqxy2vpwv649ag2fna6frzqlaj05ln9k,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,287500000000000000000000000,287500000
core1g7jwjw8pqpx04v0gxl05hvqc5shkknrzxkxg96,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,2470000000000000000000000000,2470000000
core1fzu00vqatktpttrha5j7sk8eut6cp8k7cfmtrd,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,194500644983000000000000000000,194500644983
core1frks5lkuurvpjqjj52yle9ngyfv5f43pf0e2jj,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,174000000000000000000000000,174000000
core1fy8tf0t3kz6pdzgdds3zfmt32e3rh4xe8zj0rs,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,13322000000000000000000000000,13322000000
core1fsh6ty4jqvgsnegzt6rnzvvh835xyt9xe3jtue,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,25003069000000000000000000000,25003069000
core1fjxa5s8wz75rp7qgrs9lqvw0qr2gt0nny6sjz9,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,9999999999000000000000000000,9999999999
core1f4pdpcjamjhedduqn2a3m0nmdx7nmdzeqfp9vk,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,5000000000000000000000000,5000000
core1f4mfmaxfyz76q4xn25zw8mhgprp24hx273jq4q,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,1240701797000000000000000000,1240701797
core1fk6teme9c8cdz98n4ju2q7ds73kfhhehuu925c,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,50000000000000000000000000,50000000
core1fkama3hk3jrsgnhje844lv8nu6m5gwtn3x5q3z,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,550000000000000000000000000,550000000
core1fh26mmh6wszjchm5jdj39glf3p329tv5ad5aq9,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,190371580000000000000000000,190371580
core1fc9n2x0xk85mgva9eg623uneknnm9t9kfxrv57,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,300553238000000000000000000,300553238
core1fu4k8ckhnkamnfkm850q8kkvf5hcv5m4x5xk6r,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,222751793000000000000000000,222751793
core12qp29pmd3q5l7uuynwn9ghzf2xga8m0uhzyhzn,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,10000000000000000000000000000,10000000000
core12xuzr2j9ezcdpn6guq79p6dl5m8cnf2tqepy4w,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,319707648000000000000000000,319707648
core128g2qf7vc2fsgxlqlwvugzgvlxj2fte58tuysz,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,6395999999000000000000000000,6395999999
core128n83mnzfggl5pzuuza6ylxdcul6n0c0tzdy5k,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,1957961909000000000000000000,1957961909
core122ufuncve8pupqc0nd7yjyk5kqtr7l3w9j9rjl,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,4869615552000000000000000000,4869615552
core12t6jlpy0r5t68323nserxa5padpcv2e0efzm7x,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,2086803840000000000000000000,2086803840
core12v9lp9mcuax3ddlcfl8vfxywq2ggslaa4zj4ll,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,300000000000000000000000000,300000000
core12nnnj353v4nepmeq6xkh0edq8gd6zh638z5p2d,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,100000000000000000000000000,100000000
core12nc70drnd5wgm4zxllepd7z6n3eprn8kzr3s0j,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,519277930000000000000000000,519277930
core12lrx6u604qhj2chvnut2djusm77kt7fhq7uuua,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,97942480000000000000000000,97942480
core12lmk2j9y52d3023mc8f4sjzyqezvadujlckjln,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,566000000000000000000000000,566000000
core1tzx877gvzwjw082z82dp3xw4csgpyadm29gra2,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,1682122535000000000000000000,1682122535
core1tz7wgjtpcu3tknyagc4g0d8eqh3a6n5pu2shv4,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,6672117826000000000000000000,6672117826
core1txs8h2cvj2kylmy8fhpr7t7tunhftl7p9uvlul,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,3000000000000000000000000000,3000000000
core1tveflnp8lwy89gd8xwc8eckk7fzvx7ne082jx7,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,1300000000000000000000000000,1300000000
core1twuv44emsnnk62p4h0jw5vkm7tzjh5n67emynj,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,6000000000000000000000000000,6000000000
core1t4vxsxygs0j03qhq7n7l979a4048xx2ddvdnrf,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,550000000000000000000000000,550000000
core1tcu85fhw75pss207ka0p9mmk4fpuk7pkk6l0m7,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,23200000000000000000000000000,23200000000
core1tmuxzfflglrykng07xwsqglv73a2g6lnf7pv9d,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,17370000000000000000000000,17370000
core1tllevkn04rnenh6dfquy3uszdmwkxprkjqz7kf,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,4164761965000000000000000000,4164761965
core1vqkqd3a802ytxtq53ma2lk0d38zlwgtm4ymmm8,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,2024000000000000000000000000,2024000000
core1vzrrc8uxg32ge5385dvv6asth49d9e04z2jug5,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,157300000000000000000000000,157300000
core1v9vsv5cuhr4dvrksheze25ndnh038zwj9ngppw,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,1583000000000000000000000000,1583000000
core1vgu2sk69dwhvzhkyyrtsph2hcwqmvmq7y9pjr5,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,1080000000000000000000000000,1080000000
core1vtt75r9wq6g7kz0vz5h3fv3va32tq9fjwwx47e,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,2524969871000000000000000000,2524969871
core1vt74sg6zvdn2ctlnqm4qvg5jkk69qhujy3y9w8,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,638510859000000000000000000,638510859
core1vjqmfrugjypnsv3lnaalw9c6dlsnwhgp0vs0g5,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,1004124151000000000000000000,1004124151
core1v57kgcu3z3djag3x5vp40l6txaxepmxres77hr,corevaloper1q69hxadh5pl9d6q0a35y3mfx8ls5quxuqgla8t,22014722786000000000000000000,22014722786
